"id"	"abnormal"	"var_1"	"var_2"	"var_3"	"var_4"	"var_5"	"var_6"	"var_7"	"var_8"
1	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
2	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
3	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
4	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
5	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
6	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
7	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
8	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
9	"no"	0	0	1	"full"	1	"mid"	"low"	"low"
10	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
11	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
12	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
13	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
14	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
15	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
16	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
17	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
18	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
19	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
20	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
21	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
22	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
23	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
24	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
25	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
26	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
27	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
28	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
29	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
30	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
31	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
32	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
33	"no"	1	0	0	"empty"	1	"mid"	"low"	"low"
34	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
35	"no"	0	0	1	"empty"	0	"low"	"low"	"mid"
36	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
37	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
38	"no"	0	0	0	"empty"	0	"low"	"low"	"low"
39	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
40	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
41	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
42	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
43	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
44	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
45	"no"	0	0	1	"partial"	0	"mid"	"low"	"mid"
46	"no"	1	1	1	"empty"	0	"low"	"low"	"low"
47	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
48	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
49	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
50	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
51	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
52	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
53	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
54	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
55	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
56	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
57	"no"	0	0	0	"full"	0	"mid"	"low"	"mid"
58	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
59	"no"	0	0	0	"empty"	0	"high"	"high"	"low"
60	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
61	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
62	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
63	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
64	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
65	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
66	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
67	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
68	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
69	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
70	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
71	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
72	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
73	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
74	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
75	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
76	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
77	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
78	"no"	0	0	1	"partial"	0	"mid"	"low"	"mid"
79	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
80	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
81	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
82	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
83	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
84	"no"	0	0	1	"partial"	0	"mid"	"low"	"high"
85	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
86	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
87	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
88	"no"	0	0	0	"full"	0	"low"	"low"	"mid"
89	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
90	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
91	"no"	0	0	1	"full"	0	"mid"	"low"	"low"
92	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
93	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
94	"no"	0	0	0	"empty"	0	"mid"	"low"	"high"
95	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
96	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
97	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
98	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
99	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
100	"no"	1	0	1	"empty"	1	"low"	"low"	"low"
101	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
102	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
103	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
104	"no"	0	0	1	"empty"	0	"low"	"low"	"mid"
105	"no"	0	0	0	"partial"	0	"mid"	"low"	"high"
106	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
107	"no"	0	0	0	"partial"	0	"mid"	"low"	"mid"
108	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
109	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
110	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
111	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
112	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
113	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
114	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
115	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
116	"no"	0	0	0	"full"	0	"low"	"low"	"mid"
117	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
118	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
119	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
120	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
121	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
122	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
123	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
124	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
125	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
126	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
127	"no"	0	0	1	"empty"	0	"mid"	"low"	"high"
128	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
129	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
130	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
131	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
132	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
133	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
134	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
135	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
136	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
137	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
138	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
139	"no"	0	0	0	"full"	0	"mid"	"low"	"mid"
140	"no"	0	0	0	"full"	0	"mid"	"low"	"mid"
141	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
142	"no"	0	0	1	"partial"	0	"mid"	"low"	"high"
143	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
144	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
145	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
146	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
147	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
148	"no"	0	0	0	"full"	0	"low"	"low"	"mid"
149	"no"	0	0	0	"full"	0	"mid"	"low"	"mid"
150	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
151	"no"	0	0	0	"empty"	0	"low"	"low"	"low"
152	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
153	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
154	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
155	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
156	"no"	0	0	1	"empty"	0	"mid"	"low"	"mid"
157	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
158	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
159	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
160	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
161	"no"	0	0	0	"empty"	1	"high"	"high"	"low"
162	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
163	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
164	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
165	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
166	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
167	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
168	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
169	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
170	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
171	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
172	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
173	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
174	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
175	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
176	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
177	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
178	"no"	0	0	1	"partial"	0	"mid"	"low"	"high"
179	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
180	"no"	0	0	1	"partial"	0	"mid"	"low"	"high"
181	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
182	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
183	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
184	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
185	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
186	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
187	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
188	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
189	"no"	0	0	1	"full"	0	"low"	"low"	"mid"
190	"no"	0	0	1	"full"	0	"mid"	"low"	"low"
191	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
192	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
193	"no"	0	0	1	"partial"	0	"mid"	"low"	"mid"
194	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
195	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
196	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
197	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
198	"no"	0	0	1	"full"	0	"low"	"low"	"high"
199	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
200	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
201	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
202	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
203	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
204	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
205	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
206	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
207	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
208	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
209	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
210	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
211	"no"	0	0	1	"partial"	0	"mid"	"low"	"mid"
212	"no"	0	0	0	"empty"	0	"mid"	"low"	"high"
213	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
214	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
215	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
216	"no"	0	0	1	"empty"	0	"low"	"low"	"mid"
217	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
218	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
219	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
220	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
221	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
222	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
223	"no"	0	0	0	"empty"	0	"mid"	"low"	"mid"
224	"no"	0	1	0	"partial"	0	"mid"	"low"	"mid"
225	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
226	"no"	0	0	1	"partial"	1	"mid"	"low"	"low"
227	"no"	0	0	0	"empty"	0	"mid"	"low"	"low"
228	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
229	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
230	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
231	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
232	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
233	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
234	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
235	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
236	"no"	0	0	1	"full"	0	"mid"	"low"	"mid"
237	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
238	"no"	0	0	1	"full"	0	"mid"	"low"	"low"
239	"no"	0	0	1	"partial"	1	"mid"	"low"	"low"
240	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
241	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
242	"no"	1	0	1	"empty"	1	"low"	"low"	"low"
243	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
244	"no"	0	0	0	"full"	0	"mid"	"low"	"mid"
245	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
246	"no"	0	0	1	"empty"	0	"low"	"low"	"mid"
247	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
248	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
249	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
250	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
251	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
252	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
253	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
254	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
255	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
256	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
257	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
258	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
259	"no"	0	0	0	"empty"	1	"mid"	"low"	"mid"
260	"no"	0	0	0	"empty"	1	"low"	"low"	"low"
261	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
262	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
263	"no"	0	0	0	"empty"	1	"high"	"high"	"low"
264	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
265	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
266	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
267	"no"	1	1	1	"empty"	1	"mid"	"low"	"low"
268	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
269	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
270	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
271	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
272	"no"	0	0	0	"full"	0	"mid"	"low"	"mid"
273	"no"	0	0	1	"empty"	0	"low"	"low"	"low"
274	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
275	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
276	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
277	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
278	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
279	"no"	1	0	0	"empty"	1	"low"	"low"	"low"
280	"no"	1	0	1	"empty"	1	"mid"	"low"	"low"
281	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
282	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
283	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
284	"no"	0	0	0	"full"	1	"low"	"low"	"low"
285	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
286	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
287	"no"	0	0	0	"empty"	1	"mid"	"low"	"low"
288	"no"	0	0	1	"partial"	0	"low"	"low"	"mid"
289	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
290	"no"	0	0	1	"empty"	0	"mid"	"low"	"low"
291	"no"	1	0	1	"full"	0	"mid"	"low"	"mid"
292	"no"	0	0	1	"empty"	1	"low"	"low"	"low"
293	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
294	"no"	0	0	1	"partial"	0	"mid"	"low"	"mid"
295	"no"	0	0	1	"empty"	1	"mid"	"low"	"low"
